archivo,problema,gamma,semilla,min_fr,max_bl,tlimite,relleno_pct,vol_cargado,vol_contenedor,w_final,segundos
BR1.txt,4,2.00,3,100,10000,30.0,93.2179,28048898,30089620,148,30.00
BR1.txt,5,2.00,3,100,10000,30.0,95.1402,28627317,30089620,210,30.01
BR1.txt,6,2.00,3,100,10000,30.0,96.0742,28908360,30089620,210,30.00
BR1.txt,7,2.00,3,100,10000,30.0,96.6567,29083640,30089620,210,30.00
BR1.txt,8,2.00,3,100,10000,30.0,97.7615,29416050,30089620,148,30.00
BR1.txt,9,2.00,3,100,10000,30.0,93.7000,28193988,30089620,297,30.00
BR1.txt,10,2.00,3,100,10000,30.0,95.3550,28691952,30089620,210,30.00
BR7.txt,1,1.00,1,100,10000,30.0,95.8138,28830014,30089620,73,30.00
BR7.txt,2,1.00,1,100,10000,30.0,95.9076,28858247,30089620,73,30.00
BR7.txt,3,1.00,1,100,10000,30.0,95.9104,28859081,30089620,73,30.00
BR7.txt,4,1.00,1,100,10000,30.0,95.8969,28855004,30089620,51,30.00
BR7.txt,5,1.00,1,100,10000,30.0,94.9461,28568909,30089620,73,30.00
BR7.txt,6,1.00,1,100,10000,30.0,95.9079,28858322,30089620,51,30.00
BR7.txt,7,1.00,1,100,10000,30.0,96.0641,28905327,30089620,73,30.00
BR7.txt,8,1.00,1,100,10000,30.0,95.3176,28680697,30089620,73,30.00
BR7.txt,9,1.00,1,100,10000,30.0,95.4704,28726676,30089620,73,30.00
BR7.txt,10,1.00,1,100,10000,30.0,96.1925,28943968,30089620,73,30.00
BR7.txt,1,1.50,1,100,10000,30.0,95.6296,28774592,30089620,73,30.00
BR7.txt,2,1.50,1,100,10000,30.0,95.4946,28733966,30089620,73,30.00
BR7.txt,3,1.50,1,100,10000,30.0,95.6555,28782389,30089620,73,30.00
BR7.txt,4,1.50,1,100,10000,30.0,96.3825,29001118,30089620,51,30.00
BR7.txt,5,1.50,1,100,10000,30.0,95.0334,28595187,30089620,73,30.00
BR7.txt,6,1.50,1,100,10000,30.0,95.6283,28774178,30089620,51,30.00
BR7.txt,7,1.50,1,100,10000,30.0,95.8082,28828327,30089620,73,30.00
BR7.txt,8,1.50,1,100,10000,30.0,95.3679,28695831,30089620,73,30.00
BR7.txt,9,1.50,1,100,10000,30.0,95.3884,28702020,30089620,73,30.00
BR7.txt,10,1.50,1,100,10000,30.0,95.9690,28876694,30089620,73,30.00
BR7.txt,1,1.50,2,100,10000,30.0,95.6205,28771838,30089620,73,30.00
BR7.txt,2,1.50,2,100,10000,30.0,95.6711,28787085,30089620,73,30.00
BR7.txt,3,1.50,2,100,10000,30.0,95.8165,28830831,30089620,73,30.00
BR7.txt,4,1.50,2,100,10000,30.0,95.5532,28751608,30089620,51,30.00
BR7.txt,5,1.50,2,100,10000,30.0,96.1338,28926303,30089620,73,30.00
BR7.txt,6,1.50,2,100,10000,30.0,95.9257,28863688,30089620,51,30.00
BR7.txt,7,1.50,2,100,10000,30.0,95.7449,28809287,30089620,73,30.00
BR7.txt,8,1.50,2,100,10000,30.0,95.3085,28677969,30089620,73,30.00
BR7.txt,9,1.50,2,100,10000,30.0,95.7516,28811298,30089620,73,30.00
BR7.txt,10,1.50,2,100,10000,30.0,95.8681,28846348,30089620,73,30.00
BR7.txt,1,1.50,3,100,10000,30.0,95.9494,28870824,30089620,73,30.00
BR7.txt,2,1.50,3,100,10000,30.0,95.8397,28837802,30089620,73,30.00
BR7.txt,3,1.50,3,100,10000,30.0,95.5315,28745054,30089620,73,30.00
BR7.txt,4,1.50,3,100,10000,30.0,96.2502,28961330,30089620,51,30.00
BR7.txt,5,1.50,3,100,10000,30.0,95.8830,28850835,30089620,73,30.00
BR7.txt,6,1.50,3,100,10000,30.0,96.2961,28975136,30089620,51,30.00
BR7.txt,7,1.50,3,100,10000,30.0,95.9156,28860631,30089620,73,30.00
BR7.txt,8,1.50,3,100,10000,30.0,95.3488,28690090,30089620,73,30.00
BR7.txt,9,1.50,3,100,10000,30.0,95.1485,28629831,30089620,73,30.00
BR7.txt,10,1.50,3,100,10000,30.0,96.0950,28914610,30089620,73,30.00
BR7.txt,1,2.00,1,100,10000,30.0,95.4341,28715765,30089620,73,30.00
BR7.txt,2,2.00,1,100,10000,30.0,95.4987,28735199,30089620,51,30.00
BR7.txt,3,2.00,1,100,10000,30.0,95.5032,28736562,30089620,73,30.00
BR7.txt,4,2.00,1,100,10000,30.0,95.9889,28882697,30089620,51,30.00
BR7.txt,5,2.00,1,100,10000,30.0,95.3896,28702366,30089620,73,30.00
BR7.txt,6,2.00,1,100,10000,30.0,95.7941,28824080,30089620,51,30.00
BR7.txt,7,2.00,1,100,10000,30.0,95.7449,28809287,30089620,73,30.00
BR7.txt,8,2.00,1,100,10000,30.0,95.9082,28858415,30089620,73,30.00
BR7.txt,9,2.00,1,100,10000,30.0,95.4253,28713103,30089620,73,30.00
BR7.txt,10,2.00,1,100,10000,30.0,96.1136,28920232,30089620,73,30.00
BR7.txt,1,2.00,2,100,10000,30.0,95.6519,28781298,30089620,73,30.00
BR7.txt,2,2.00,2,100,10000,30.0,95.8858,28851675,30089620,73,30.00
BR7.txt,3,2.00,2,100,10000,30.0,95.9975,28885291,30089620,73,30.00
BR7.txt,4,2.00,2,100,10000,30.0,96.3564,28993289,30089620,73,30.00
BR7.txt,5,2.00,2,100,10000,30.0,95.7808,28820068,30089620,73,30.00
BR7.txt,6,2.00,2,100,10000,30.0,95.8399,28837862,30089620,51,30.00
BR7.txt,7,2.00,2,100,10000,30.0,95.6942,28794007,30089620,73,30.00
BR7.txt,8,2.00,2,100,10000,30.0,95.5353,28746197,30089620,73,30.00
BR7.txt,9,2.00,2,100,10000,30.0,95.3159,28680196,30089620,51,30.00
BR7.txt,10,2.00,2,100,10000,30.0,96.0807,28910316,30089620,73,30.00
BR7.txt,1,2.00,3,100,10000,30.0,96.1468,28930220,30089620,73,30.00
BR7.txt,2,2.00,3,100,10000,30.0,96.1929,28944088,30089620,73,30.00
BR7.txt,3,2.00,3,100,10000,30.0,95.6352,28776275,30089620,73,30.00
BR7.txt,4,2.00,3,100,10000,30.0,96.0613,28904466,30089620,73,30.00
BR7.txt,5,2.00,3,100,10000,30.0,95.6865,28791690,30089620,73,30.00
BR7.txt,6,2.00,3,100,10000,30.0,95.3476,28689740,30089620,51,30.00
BR7.txt,7,2.00,3,100,10000,30.0,95.7149,28800238,30089620,73,30.00
BR7.txt,8,2.00,3,100,10000,30.0,95.5836,28760728,30089620,73,30.00
BR7.txt,9,2.00,3,100,10000,30.0,95.5568,28752686,30089620,51,30.00
BR7.txt,10,2.00,3,100,10000,30.0,95.4883,28732054,30089620,73,30.00
BR11.txt,1,1.00,1,98,10000,30.0,95.4923,28733283,30089620,36,30.00
BR11.txt,2,1.00,1,98,10000,30.0,94.9414,28567513,30089620,36,30.00
BR11.txt,3,1.00,1,98,10000,30.0,94.1252,28321920,30089620,51,30.00
BR11.txt,4,1.00,1,98,10000,30.0,94.4731,28426584,30089620,36,30.00
BR11.txt,5,1.00,1,98,10000,30.0,94.7828,28519770,30089620,36,30.00
BR11.txt,6,1.00,1,98,10000,30.0,94.7953,28523549,30089620,36,30.00
BR11.txt,7,1.00,1,98,10000,30.0,94.1656,28334086,30089620,36,30.00
BR11.txt,8,1.00,1,98,10000,30.0,94.5602,28452804,30089620,36,30.00
BR11.txt,9,1.00,1,98,10000,30.0,94.4961,28433521,30089620,51,30.00
BR11.txt,10,1.00,1,98,10000,30.0,94.6303,28473902,30089620,36,30.00
BR11.txt,1,1.50,1,98,10000,30.0,95.3783,28698978,30089620,36,30.00
BR11.txt,2,1.50,1,98,10000,30.0,94.7230,28501785,30089620,36,30.00
BR11.txt,3,1.50,1,98,10000,30.0,94.1708,28335637,30089620,51,30.00
BR11.txt,4,1.50,1,98,10000,30.0,94.6920,28492449,30089620,36,30.00
BR11.txt,5,1.50,1,98,10000,30.0,94.8670,28545114,30089620,36,30.00
BR11.txt,6,1.50,1,98,10000,30.0,95.1024,28615943,30089620,36,30.00
BR11.txt,7,1.50,1,98,10000,30.0,94.4781,28428100,30089620,36,30.00
BR11.txt,8,1.50,1,98,10000,30.0,93.9671,28274351,30089620,36,30.00
BR11.txt,9,1.50,1,98,10000,30.0,94.3303,28383615,30089620,51,30.00
BR11.txt,10,1.50,1,98,10000,30.0,94.7167,28499905,30089620,36,30.00
BR11.txt,1,1.50,2,98,10000,30.0,94.6817,28489365,30089620,36,30.00
BR11.txt,2,1.50,2,98,10000,30.0,95.2928,28673238,30089620,36,30.00
BR11.txt,3,1.50,2,98,10000,30.0,94.3380,28385951,30089620,51,30.00
BR11.txt,4,1.50,2,98,10000,30.0,94.6376,28476100,30089620,36,30.00
BR11.txt,5,1.50,2,98,10000,30.0,95.0724,28606919,30089620,36,30.00
BR11.txt,6,1.50,2,98,10000,30.0,94.7260,28502697,30089620,36,30.00
BR11.txt,7,1.50,2,98,10000,30.0,94.3094,28377345,30089620,36,30.00
BR11.txt,8,1.50,2,98,10000,30.0,94.1479,28328736,30089620,36,30.00
BR11.txt,9,1.50,2,98,10000,30.0,94.7379,28506261,30089620,51,30.00
BR11.txt,10,1.50,2,98,10000,30.0,94.3561,28391379,30089620,36,30.00
BR11.txt,1,1.50,3,98,10000,30.0,94.9041,28556275,30089620,36,30.00
BR11.txt,2,1.50,3,98,10000,30.0,94.8947,28553445,30089620,36,30.00
BR11.txt,3,1.50,3,98,10000,30.0,94.1085,28316895,30089620,51,30.00
